13,0.0192840099335
19,0.03080701828
25,0.0481059551239
31,0.06968998909
37,0.0999329090118
43,0.13295507431
49,0.173401117325
55,0.219099998474
61,0.269599914551
67,0.326214790344
73,0.392091989517
79,0.467187166214
85,0.542943000793
91,0.636686086655
97,1.01004600525
103,1.6055161953
109,1.7890150547
115,1.96668386459
121,2.21254491806
127,2.49236702919
133,2.70994997025
139,2.98466205597
145,3.29585790634
151,3.63455986977
157,3.99678707123
163,4.35866117477
169,4.68024086952
175,5.05660891533
181,5.46510601044
187,5.96612405777
